N,S1,S2,Delta
0,0,0,nan
1,1,1,0
2,1.5,1.5,0
3,1.83333,1.83333,0
4,2.08333,2.08333,0
5,2.28333,2.28333,1.19209e-07
6,2.45,2.45,1.19209e-07
7,2.59286,2.59286,1.19209e-07
8,2.71786,2.71786,1.19209e-07
9,2.82897,2.82897,1.19209e-07
10,2.92897,2.92897,0
