1	1.49012e-09
2	2.98023e-09
3	1.19209e-08
4	5.96046e-09
5	0
6	2.38419e-08
7	4.76837e-08
8	7.15256e-08
9	9.53674e-08
10	1.19209e-07
11	1.43051e-07
12	1.66893e-07
13	1.90735e-07
14	2.14577e-07
15	2.38419e-07
16	2.6226e-07
17	2.86102e-07
18	3.09944e-07
19	3.33786e-07
20	2.38419e-07
21	1.43051e-07
22	4.76837e-08
23	4.76837e-08
24	1.43051e-07
25	2.38419e-07
26	3.33786e-07
27	4.29153e-07
28	5.24521e-07
29	6.19888e-07
30	7.15256e-07
31	8.10623e-07
32	9.05991e-07
33	1.00136e-06
34	1.09673e-06
35	1.19209e-06
36	1.28746e-06
37	1.38283e-06
38	1.4782e-06
39	1.57356e-06
40	1.66893e-06
41	1.52588e-06
42	1.62125e-06
43	1.71661e-06
44	1.81198e-06
45	1.90735e-06
46	2.00272e-06
47	2.09808e-06
48	2.19345e-06
49	2.28882e-06
50	2.38419e-06
51	2.47955e-06
52	2.57492e-06
53	2.67029e-06
54	2.76566e-06
55	2.86102e-06
56	2.95639e-06
57	3.05176e-06
58	3.14713e-06
59	3.24249e-06
60	3.33786e-06
61	3.43323e-06
62	3.5286e-06
63	3.62396e-06
64	3.71933e-06
65	3.8147e-06
66	3.91006e-06
67	4.00543e-06
68	4.1008e-06
69	4.19617e-06
70	4.29153e-06
71	4.3869e-06
72	4.48227e-06
73	4.57764e-06
74	4.673e-06
75	4.76837e-06
76	4.86374e-06
77	4.95911e-06
78	5.05447e-06
79	5.14984e-06
80	5.24521e-06
81	5.34058e-06
82	4.95911e-06
83	4.57764e-06
84	4.19617e-06
85	3.8147e-06
86	3.43323e-06
87	3.05176e-06
88	2.67029e-06
89	2.28882e-06
90	1.90735e-06
91	1.52588e-06
92	1.14441e-06
93	7.62939e-07
94	3.8147e-07
95	0
96	3.8147e-07
97	7.62939e-07
98	1.14441e-06
99	1.52588e-06
100	1.90735e-06
101	2.28882e-06
102	2.67029e-06
103	3.05176e-06
104	3.43323e-06
105	3.8147e-06
106	4.19617e-06
107	4.57764e-06
108	4.95911e-06
109	5.34058e-06
110	5.72205e-06
111	6.10352e-06
112	6.48499e-06
113	6.86645e-06
114	7.24792e-06
115	7.62939e-06
116	8.01086e-06
117	8.39233e-06
118	8.7738e-06
119	9.15527e-06
120	9.53674e-06
121	9.91821e-06
122	1.02997e-05
123	1.06812e-05
124	1.10626e-05
125	1.14441e-05
126	1.18256e-05
127	1.2207e-05
128	1.25885e-05
129	1.297e-05
130	1.33514e-05
131	1.37329e-05
132	1.41144e-05
133	1.44958e-05
134	1.48773e-05
135	1.52588e-05
136	1.56403e-05
137	1.60217e-05
138	1.64032e-05
139	1.67847e-05
140	1.71661e-05
141	1.75476e-05
142	1.79291e-05
143	1.83105e-05
144	1.8692e-05
145	1.90735e-05
146	1.9455e-05
